,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
1702,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T11:00:00Z,2018-10-13T05:00:00-06:00,no2,0.025,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1703,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T11:00:00Z,2018-10-13T05:00:00-06:00,no2,0.016,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1714,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T10:00:00Z,2018-10-13T04:00:00-06:00,no2,0.026000000000000002,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1716,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T10:00:00Z,2018-10-13T04:00:00-06:00,no2,0.027000000000000003,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1719,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T10:00:00Z,2018-10-13T04:00:00-06:00,no2,0.024,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1735,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T09:00:00Z,2018-10-13T03:00:00-06:00,no2,0.026000000000000002,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1737,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T09:00:00Z,2018-10-13T03:00:00-06:00,no2,0.027000000000000003,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1740,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T09:00:00Z,2018-10-13T03:00:00-06:00,no2,0.027999999999999997,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1747,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T07:00:00Z,2018-10-13T01:00:00-06:00,no2,0.028999999999999998,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1753,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T07:00:00Z,2018-10-13T01:00:00-06:00,no2,0.024,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1757,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T07:00:00Z,2018-10-13T01:00:00-06:00,no2,0.027000000000000003,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1767,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T06:00:00Z,2018-10-13T00:00:00-06:00,no2,0.027999999999999997,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1772,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T06:00:00Z,2018-10-13T00:00:00-06:00,no2,0.027999999999999997,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1774,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T06:00:00Z,2018-10-13T00:00:00-06:00,no2,0.027999999999999997,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1786,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T05:00:00Z,2018-10-12T23:00:00-06:00,no2,0.027999999999999997,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1795,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T04:00:00Z,2018-10-12T22:00:00-06:00,no2,0.021,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1800,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T04:00:00Z,2018-10-12T22:00:00-06:00,no2,0.034,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
